0.353	0.35			
0.775	0.77			
0.118	0.12			
0.157	0.16			
0.877	0.88			
0.314	0.31			
0.353	0.35			
0.392	0.39			
0.275	0.27			
0.235	0.24			
0.118	0.12			
0.890	0.89			
0.078	0.08			
0.235	0.24			
0.786	0.79			
0.196	0.20			
0.392	0.39			
0.353	0.35			
0.304	0.30			
1.000	1.00			
0.314	0.31			
0.078	0.08			
0.527	0.53			
0.831	0.83			
0.078	0.08			
0.905	0.91			
0.196	0.20			
0.118	0.12			
0.000	0.00			
0.039	0.04			
