0.353	0.60	0.385		
0.775	0.87	0.946		
0.118	0.81	0.149		
0.157	0.25	0.111		
0.877	0.62	0.981		
0.314	0.26	0.274		
0.353	0.24	0.311		
0.392	0.62	0.433		
0.275	0.72	0.318		
0.235	0.96	0.313		
0.118	0.00	0.036		
0.890	0.37	0.906		
0.078	0.01	0.000		
0.235	0.31	0.202		
0.786	0.72	0.912		
0.196	0.66	0.218		
0.392	0.78	0.468		
0.353	0.62	0.388		
0.304	0.78	0.364		
1.000	0.19	0.954		
0.314	0.37	0.295		
0.078	0.48	0.060		
0.527	0.61	0.581		
0.831	0.83	1.000		
0.078	0.47	0.059		
0.905	0.52	0.978		
0.196	0.45	0.184		
0.118	1.00	0.175		
0.000	0.84	0.012		
0.039	0.72	0.045		
