0.601	0.151	0.631	0.000	0.105
0.867	0.000	1.000	1.000	0.589
0.814	0.256	0.304	0.000	0.084
0.250	0.512	0.768	0.000	0.190
0.617	0.616	0.515	1.000	0.683
0.261	0.384	0.548	0.000	0.113
0.245	0.360	0.608	0.000	0.118
0.622	0.872	0.638	0.000	0.301
0.723	0.733	0.561	0.000	0.256
0.957	1.000	0.608	0.000	0.375
0.000	0.907	0.271	0.000	0.132
0.367	0.709	0.814	1.000	0.818
0.011	0.488	0.000	0.000	0.000
0.309	0.640	0.039	0.000	0.059
0.723	0.709	0.717	1.000	0.865
0.665	0.593	0.051	0.000	0.084
0.782	0.826	0.515	0.000	0.275
0.617	0.256	0.452	0.000	0.098
0.782	0.035	0.072	1.000	0.256
0.191	0.384	0.093	1.000	0.312
0.367	0.512	0.278	0.000	0.094
0.484	0.488	0.443	0.000	0.138
0.606	0.721	0.413	1.000	0.679
0.830	0.837	0.200	1.000	0.663
0.473	0.384	0.278	0.000	0.077
0.521	0.953	0.814	1.000	1.000
0.452	0.826	0.274	0.000	0.168
1.000	0.605	0.452	0.000	0.225
0.840	0.709	0.160	0.000	0.153
0.723	0.267	0.072	0.000	0.030
