0.210	0.631	1.000	0.432	
0.690	1.000	0.500	0.837	
0.568	0.304	0.600	0.316	
0.646	0.768	0.900	0.929	
0.567	0.515	0.600	0.462	
0.738	0.548	0.500	0.548	
0.524	0.608	0.000	0.132	
0.486	0.638	0.500	0.422	
0.354	0.561	0.600	0.329	
0.476	0.608	0.900	0.626	
0.263	0.271	0.800	0.178	
0.607	0.814	1.000	1.000	
0.564	0.000	0.500	0.066	
0.606	0.039	0.600	0.150	
0.646	0.717	0.700	0.741	
0.515	0.051	0.500	0.077	
0.572	0.515	0.500	0.407	
0.432	0.452	0.800	0.420	
0.656	0.072	0.900	0.322	
0.759	0.093	0.600	0.266	
0.903	0.278	0.700	0.565	
1.000	0.443	0.400	0.570	
0.585	0.413	0.500	0.349	
0.236	0.200	0.700	0.085	
0.000	0.278	0.800	0.000	
0.712	0.814	0.500	0.723	
0.253	0.274	0.600	0.102	
0.258	0.452	0.700	0.239	
0.471	0.160	0.800	0.241	
0.424	0.072	0.500	0.048	
