0.900	0.894	0.148	0.453	
1.000	1.000	1.000	1.000	
0.300	0.213	0.222	0.098	
0.400	0.309	0.074	0.111	
0.600	0.574	0.889	0.504	
0.800	0.787	0.074	0.350	
0.900	0.894	0.074	0.417	
1.000	1.000	0.222	0.569	
0.700	0.681	0.222	0.345	
0.600	0.574	0.296	0.304	
0.300	0.213	0.000	0.053	
0.500	0.468	0.667	0.347	
0.200	0.149	0.000	0.022	
0.600	0.574	0.074	0.229	
0.700	0.681	0.889	0.602	
0.500	0.468	0.222	0.218	
1.000	1.000	0.222	0.569	
0.900	0.894	0.222	0.490	
0.200	0.149	0.889	0.176	
0.500	0.468	0.667	0.347	
0.800	0.787	0.074	0.350	
0.200	0.149	0.148	0.048	
0.000	0.000	0.889	0.072	
0.100	0.043	1.000	0.127	
0.200	0.149	0.148	0.048	
0.400	0.309	0.778	0.278	
0.500	0.468	0.148	0.196	
0.300	0.213	0.296	0.112	
0.000	0.000	0.296	0.000	
0.100	0.043	0.222	0.017	
