0.353	0.601	0.500	0.349	
0.775	0.867	0.000	0.560	
0.118	0.814	0.000	0.088	
0.157	0.250	0.750	0.187	
0.877	0.617	1.000	1.000	
0.314	0.261	0.000	0.163	
0.353	0.245	0.000	0.185	
0.392	0.622	0.500	0.385	
0.275	0.723	0.500	0.300	
0.235	0.957	0.750	0.351	
0.118	0.000	0.000	0.021	
0.890	0.367	0.500	0.735	
0.078	0.011	0.000	0.000	
0.235	0.309	0.000	0.120	
0.786	0.723	0.500	0.740	
0.196	0.665	0.500	0.226	
0.392	0.782	0.500	0.411	
0.353	0.617	0.500	0.351	
0.304	0.782	0.500	0.334	
1.000	0.191	0.000	0.566	
0.314	0.367	0.500	0.283	
0.078	0.484	0.500	0.109	
0.527	0.606	0.500	0.495	
0.831	0.830	0.500	0.805	
0.078	0.473	0.500	0.108	
0.905	0.521	0.500	0.788	
0.196	0.452	0.000	0.109	
0.118	1.000	0.750	0.239	
0.000	0.840	0.500	0.073	
0.039	0.723	0.500	0.098	
